NAMESPACE      NAME                                                     READY   STATUS      RESTARTS        AGE
cert-manager   cert-manager-848847877c-wtm4j                            1/1     Running     10 (139m ago)   14d
cert-manager   cert-manager-cainjector-58b478b58c-jjs5n                 1/1     Running     10 (139m ago)   14d
cert-manager   cert-manager-webhook-7db9c94796-lftl5                    1/1     Running     10 (139m ago)   14d
cnpg-system    cnpg-cloudnative-pg-9c98cc6f-prqbh                       1/1     Running     10 (139m ago)   14d
cnpg-system    postgres-1                                               1/1     Running     10 (139m ago)   14d
crczp          adaptive-training-service-67466dfc59-nsbd6               1/1     Running     10 (139m ago)   14d
crczp          angular-frontend-6859fdf964-4g6qf                        1/1     Running     10 (139m ago)   14d
crczp          answers-storage-9d6476f58-l9btt                          1/1     Running     10 (139m ago)   14d
crczp          crczp-elasticsearch-7786854fbd-qcmc5                     1/1     Running     10 (139m ago)   14d
crczp          crczp-logstash-7c7db6b8c8-5mlq5                          1/1     Running     10 (139m ago)   14d
crczp          crczp-redis-6c6d566848-jx8vx                             1/1     Running     10 (139m ago)   14d
crczp          crczp-syslog-ng-7b6846c987-cwt9c                         1/1     Running     10 (139m ago)   14d
crczp          elasticsearch-service-b9bc4f6f-kpzkp                     1/1     Running     10 (139m ago)   14d
crczp          guacamole-service-76545cf5b5-ncgb2                       1/1     Running     21 (137m ago)   14d
crczp          guacd-577949fc56-k8vs5                                   1/1     Running     10 (139m ago)   14d
crczp          keycloak-0                                               1/1     Running     11 (139m ago)   13d
crczp          keycloak-operator-67d889b588-kknvz                       1/1     Running     23 (138m ago)   14d
crczp          keycloak-realm-operator-95cf7c5bd-lctvc                  1/1     Running     10 (139m ago)   14d
crczp          mitre-service-5dcd9c579-x9s8l                            1/1     Running     10 (139m ago)   14d
crczp          sandbox-service-856677cf9b-xx7rt                         1/1     Running     10 (137m ago)   13d
crczp          sandbox-service-worker-ansible-ccc45f494-cqb96           1/1     Running     5 (139m ago)    13d
crczp          sandbox-service-worker-ansible-ccc45f494-cv9rf           1/1     Running     5 (139m ago)    13d
crczp          sandbox-service-worker-ansible-ccc45f494-rjh2m           1/1     Running     5 (139m ago)    13d
crczp          sandbox-service-worker-ansible-ccc45f494-v9k7d           1/1     Running     5 (139m ago)    13d
crczp          sandbox-service-worker-default-57d4949679-62q5q          1/1     Running     5 (139m ago)    13d
crczp          sandbox-service-worker-default-57d4949679-fhl8t          1/1     Running     5 (139m ago)    13d
crczp          sandbox-service-worker-default-57d4949679-jcnds          1/1     Running     5 (139m ago)    13d
crczp          sandbox-service-worker-default-57d4949679-lhrtg          1/1     Running     5 (139m ago)    13d
crczp          sandbox-service-worker-openstack-7f5c5976b6-9vq5s        1/1     Running     5 (139m ago)    13d
crczp          sandbox-service-worker-openstack-7f5c5976b6-dkbxd        1/1     Running     5 (139m ago)    13d
crczp          sandbox-service-worker-openstack-7f5c5976b6-n4md9        1/1     Running     5 (139m ago)    13d
crczp          sandbox-service-worker-openstack-7f5c5976b6-wvqhl        1/1     Running     5 (139m ago)    13d
crczp          smart-assistant-599887d98-9gxhp                          1/1     Running     10 (139m ago)   14d
crczp          training-feedback-service-6d4897544-bqrmb                1/1     Running     10 (139m ago)   14d
crczp          training-service-6d9c87cb77-5g9hn                        1/1     Running     10 (139m ago)   14d
crczp          uag-service-59cc54b45b-l6p7m                             1/1     Running     10 (139m ago)   14d
kube-system    coredns-697968c856-qnv7n                                 1/1     Running     10 (139m ago)   14d
kube-system    helm-install-traefik-crd-lsz4r                           0/1     Completed   0               14d
kube-system    helm-install-traefik-tgp7w                               0/1     Completed   2               14d
kube-system    local-path-provisioner-774c6665dc-j8gnj                  1/1     Running     10 (139m ago)   14d
kube-system    metrics-server-6f4c6675d5-b2wz8                          1/1     Running     10 (139m ago)   14d
kube-system    my-headlamp-55c4bfbb6f-mrz8l                             1/1     Running     1 (139m ago)    151m
kube-system    svclb-crczp-syslog-ng-lb-be81c680-8cdkl                  1/1     Running     10 (139m ago)   14d
kube-system    traefik-5v25v                                            1/1     Running     10 (139m ago)   14d
prometheus     alertmanager-prometheus-kube-prometheus-alertmanager-0   2/2     Running     20 (139m ago)   14d
prometheus     prometheus-grafana-0                                     3/3     Running     30 (139m ago)   14d
prometheus     prometheus-kube-prometheus-operator-64b9d65cdd-k59tz     1/1     Running     10 (139m ago)   14d
prometheus     prometheus-kube-state-metrics-6b88d8b6c-twjgw            1/1     Running     10 (139m ago)   14d
prometheus     prometheus-prometheus-kube-prometheus-prometheus-0       2/2     Running     20 (139m ago)   14d
prometheus     prometheus-prometheus-node-exporter-znmb8                1/1     Running     10 (139m ago)   14d
reloader       reloader-reloader-568c48f7b9-jxn2v                       1/1     Running     10 (139m ago)   14d
